铜臭	tong2'xiu4
推重	tui1'zhong4
蛙鸣	wa1'ming2
外亲	wai4'qin1
晚秋	wan3'qiu1
晚自习	wan3'zi4'xi2
旺销	wang4'xiao1
瞎闹	xia1'nao4
下作	xia4'zuo
限产	xian4'chan3
小夜曲	xiao3'ye4'qu3
胁从	xie2'cong2
心火	xin1'huo3
虚无缥缈	xu1'wu2'piao1'miao3
寻短见	xun2'duan3'jian4
鸭舌帽	ya1'she2'mao4
嫣红	yan1'hong2
严办	yan2'ban4
严词	yan2'ci2
验资	yan4'zi1
洋奴	yang2'nu2
一锅粥	yi1'guo1'zhou1
一命呜呼	yi1'ming4'wu1'hu1
译员	yi4'yuan2
隐晦	yin3'hui4
印鉴	yin4'jian4
有喜	you3'xi3
域外	yu4'wai4
原职	yuan2'zhi2
远祖	yuan3'zu3
云母	yun2'mu3
再植	zai4'zhi2
早安	zao3'an1
轧辊	zha2'gun3
照发	zhao4'fa1
照应	zhao4'ying
折返	zhe2'fan3
直来直去	zhi2'lai2'zhi2'qu4
质对	zhi4'dui4
致用	zhi4'yong4
中西合璧	zhong1'xi1'he2'bi4
舟楫	zhou1'ji2
转车	zhuan3'che1
壮劳力	zhuang4'lao2'li4
紫竹	zi3'zhu2
字汇	zi4'hui4
坐班	zuo4'ban1
坐享其成	zuo4'xiang3'qi2'cheng2
坐庄	zuo4'zhuang1
做鬼	zuo4'gui3
艾蒿	ai4'hao1
安好	an1'hao3
白垩	bai2'e4
白药	bai2'yao4
报偿	bao4'chang2
报亭	bao4'ting2
爆冷门	bao4'leng3'men2
鼻烟壶	bi2'yan1'hu2
鼻子眼儿	bi2'zi'yan3'er
冰峰	bing1'feng1
并行不悖	bing4'xing2'bu4'bei4
不好惹	bu4'hao3're3
惨祸	can3'huo4
茶盘	cha2'pan2
沉香	chen2'xiang1
吃闲饭	chi1'xian2'fan4
充数	chong1'shu4
出猎	chu1'lie4
船运	chuan2'yun4
窗洞	chuang1'dong4
闯世界	chuang3'shi4'jie4
春寒料峭	chun1'han2'liao4'qiao4
答非所问	da2'fei1'suo3'wen4
大难临头	da4'nan4'lin2'tou2
盗掘	dao4'jue2
盗取	dao4'qu3
滴滴涕	di1'di1'ti4
的确良	di2'que4'liang2
敌寇	di2'kou4
颠沛流离	dian1'pei4'liu2'li2
电贺	dian4'he4
电子版	dian4'zi3'ban3
订户	ding4'hu4
动土	dong4'tu3
斗智	dou4'zhi4
反调	fan3'diao4
饭粒	fan4'li4
风云突变	feng1'yun2'tu1'bian4
夫权	fu1'quan2
复学	fu4'xue2
干菜	gan1'cai4
港货	gang3'huo4
共赴	gong4'fu4
官气	guan1'qi4
光荣榜	guang1'rong2'bang3
光宗耀祖	guang1'zong1'yao4'zu3
滚筒	gun3'tong3
黑斑	hei1'ban1
黑油油	hei1'you2'you2
恨之入骨	hen4'zhi1'ru4'gu3
横溢	heng2'yi4
