不足	bu4'zu2
属于	shu3'yu2
工业	gong1'ye4
音乐	yin1'yue4
满足	man3'zu2
质量	zhi4'liang4
自然	zi4'ran2
抓住	zhua1'zhu4
日子	ri4'zi
期间	qi1'jian1
投资	tou2'zi1
法国	fa3'guo2
过去	guo4'qu4
紧张	jin3'zhang1
比赛	bi3'sai4
阶段	jie1'duan4
开发	kai1'fa1
范围	fan4'wei2
分钟	fen1'zhong1
不知	bu4'zhi1
大会	da4'hui4
总理	zong3'li3
全面	quan2'mian4
未来	wei4'lai2
人口	ren2'kou3
扩大	kuo4'da4
即使	ji2'shi3
军队	jun1'dui4
难以	nan2'yi3
外国	wai4'guo2
先进	xian1'jin4
银行	yin2'hang2
事件	shi4'jian4
热情	re4'qing2
常常	chang2'chang2
强烈	qiang2'lie4
必要	bi4'yao4
文明	wen2'ming2
手段	shou3'duan4
建议	jian4'yi4
女儿	nv3'er2
特殊	te4'shu1
复杂	fu4'za2
战士	zhan4'shi4
作为	zuo4'wei2
形势	xing2'shi4
无论	wu2'lun4
机构	ji1'gou4
执行	zhi2'xing2
讲话	jiang3'hua4
以为	yi3'wei2
同意	tong2'yi4
分子	fen4'zi3
实践	shi2'jian4
科技	ke1'ji4
建筑	jian4'zhu4
之前	zhi1'qian2
广大	guang3'da4
那个	na4'ge
长期	chang2'qi1
专门	zhuan1'men2
大量	da4'liang4
改造	gai3'zao4
民主	min2'zhu3
成绩	cheng2'ji4
父母	fu4'mu3
培养	pei2'yang3
哪里	na3'li
强调	qiang2'diao4
相互	xiang1'hu4
超过	chao1'guo4
正式	zheng4'shi4
著名	zhu4'ming2
批评	pi1'ping2
稳定	wen3'ding4
明白	ming2'bai2
出口	chu1'kou3
重点	zhong4'dian3
资金	zi1'jin1
指导	zhi3'dao3
状态	zhuang4'tai4
祖国	zu3'guo2
不但	bu4'dan4
报道	bao4'dao4
开展	kai1'zhan3
投入	tou2'ru4
高度	gao1'du4
独立	du2'li4
电视	dian4'shi4
妈妈	ma1'ma1
职工	zhi2'gong1
增长	zeng1'zhang3
各地	ge4'di4
有时	you3'shi2
深刻	shen1'ke4
以下	yi3'xia4
刚刚	gang1'gang1
主张	zhu3'zhang1
明确	ming2'que4
习惯	xi2'guan4
调整	tiao2'zheng3
