不妥	bu4'tuo3
陡然	dou3'ran2
堆放	dui1'fang4
分担	fen1'dan1
集结	ji2'jie2
跑道	pao3'dao4
岂能	qi3'neng2
着地	zhao2'di4
榜首	bang3'shou3
电话机	dian4'hua4'ji1
光顾	guang1'gu4
较之	jiao4'zhi1
跑步	pao3'bu4
时日	shi2'ri4
税金	shui4'jin1
信教	xin4'jiao1
在即	zai4'ji2
竹子	zhu2'zi3
班禅	ban1'chan2
成功率	cheng2'gong1'lv4
德才兼备	de2'cai2'jian1'bei4
地盘	di4'pan2
名胜	ming2'sheng4
双休日	shuang1'xiu1'ri4
心地	xin1'di4
熊熊	xiong2'xiong2
在此之前	zai4'ci3'zhi1'qian2
必备	bi4'bei4
电机	dian4'ji1
后进	hou4'jin4
剪刀	jian3'dao1
吭声	keng1'sheng1
潜伏	qian2'fu2
突击队	tu1'ji1'dui4
维系	wei2'xi4
相符	xiang1'fu2
越冬	yue4'dong1
侦探	zhen1'tan4
自谋	zi4'mou2
到头来	dao4'tou2'lai2
来稿	lai2'gao3
收买	shou1'mai3
痛恨	tong4'hen4
呜咽	wu1'ye4
渊源	yuan1'yuan2
打火机	da3'huo3'ji1
电荷	dian4'he4
复辟	fu4'bi4
公事	gong1'shi4
呼应	hu1'ying4
略略	lve4'lve4
奴才	nu2'cai2
升空	sheng1'kong1
手指头	shou3'zhi3'tou2
屋檐	wu1'yan2
常任	chang2'ren4
稻谷	dao4'gu3
团圆	tuan2'yuan2
伴奏	ban4'zou4
触摸	chu4'mo1
大汉	da4'han4
敬重	jing4'zhong4
扩充	kuo4'chong1
摸底	mo1'di3
造血	zao4'xue4
指使	zhi3'shi3
诅咒	zu3'zhou4
公办	gong1'ban4
恭维	gong1'wei2
后盾	hou4'dun4
来电	lai2'dian4
眼珠子	yan3'zhu1'zi3
真心实意	zhen1'xin1'shi2'yi4
传单	chuan2'dan1
国画	guo2'hua4
过滤	guo4'lv4
呵护	he1'hu4
精干	jing1'gan4
科技界	ke1'ji4'jie4
入住	ru4'zhu4
吻合	wen3'he2
肖像	xiao4'xiang4
悲愤	bei1'fen4
个人主义	ge4'ren2'zhu3'yi4
和服	he2'fu2
吉普车	ji2'pu3'che1
怒气	nu4'qi4
商界	shang1'jie4
食盐	shi2'yan2
势在必行	shi4'zai4'bi4'xing2
王八	wang2'ba
斡旋	wo4'xuan2
无能	wu2'neng2
相约	xiang1'yue1
招募	zhao1'mu4
假说	jia3'shuo1
补救	bu3'jiu4
地雷	di4'lei2
会师	hui4'shi1
借贷	jie4'dai4
剧作	ju4'zuo4
批量	pi1'liang4
锐气	rui4'qi4
天赋	tian1'fu4
直航	zhi2'hang2
诸葛亮	zhu1'ge3'liang4
好一会儿	hao3'yi1'hui4'er
汇款	hui4'kuan3
抗生素	kang4'sheng1'su4
名录	ming2'lu4
任凭	ren4'ping2
上方	shang4'fang1
在乎	zai4'hu1
支线	zhi1'xian4
电工	dian4'gong1
动乱	dong4'luan4
发球	fa1'qiu2
个儿	ge4'er
根治	gen1'zhi4
光照	guang1'zhao4
健壮	jian4'zhuang4
橘子	ju2'zi3
民居	min2'ju1
说谎	shuo1'huang3
下沉	xia4'chen2
镶嵌	xiang1'qian4
休养	xiu1'yang3
出外	chu1'wai4
党旗	dang3'qi2
动听	dong4'ting1
官邸	guan1'di3
聚居	ju4'ju1
屡禁不止	lv3'jin4'bu4'zhi3
迁徙	qian1'xi3
推崇	tui1'chong2
外方	wai4'fang1
万众一心	wan4'zhong4'yi1'xin1
胭脂	yan1'zhi1
珍品	zhen1'pin3
缔结	di4'jie2
典雅	dian3'ya3
防灾	fang2'zai1
管理员	guan3'li3'yuan2
汇总	hui4'zong3
集约化	ji2'yue1'hua4
警官	jing3'guan1
可耻	ke3'chi3
少妇	shao4'fu4
手头	shou3'tou2
疏散	shu1'san4
算命	suan4'ming4
同居	tong2'ju1
推辞	tui1'ci2
像样	xiang4'yang4
着落	zhuo2'luo4
河床	he2'chuang2
鉴赏	jian4'shang3
射箭	she4'jian4
书院	shu1'yuan4
怎么着	zen3'me'zhe
转告	zhuan3'gao4
左侧	zuo3'ce4
包子	bao1'zi
不辞	bu4'ci2
长跑	chang2'pao3
动不动	dong4'bu'dong4
姑妈	gu1'ma1
矿物	kuang4'wu4
联合体	lian2'he2'ti3
年货	nian2'huo4
司马	si1'ma3
刑侦	xing2'zhen1
选中	xuan3'zhong1
眼圈	yan3'quan1
着陆	zhuo2'lu4
插嘴	cha1'zui3
搀扶	chan1'fu2
攻坚战	gong1'jian1'zhan4
就餐	jiu4'can1
失调	shi1'tiao2
先驱	xian1'qu1
星系	xing1'xi4
羞愧	xiu1'kui4
虚报	xu1'bao4
早稻	zao3'dao4
只因	zhi1'yin1
城管	cheng2'guan3
列出	lie4'chu1
四化	si4'hua4
肆意	si4'yi4
肃穆	su4'mu4
体裁	ti3'cai2
违约	wei2'yue1
要死	yao4'si3
